# displae of O[Ang]:num:energy[eV]
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.812532330157364563e-03 1.000000000000000000e+00 2.391000001011889253e-05
9.625064660314729126e-03 2.000000000000000000e+00 9.591000001307747880e-05
1.443759699047209369e-02 3.000000000000000000e+00 2.167200000116054071e-04
1.925012932062945825e-02 4.000000000000000000e+00 3.803400000066403663e-04
2.406266165078682281e-02 5.000000000000000000e+00 6.025500000106376319e-04
2.887519398094418738e-02 6.000000000000000000e+00 8.779900000064344567e-04
3.368772631110154847e-02 7.000000000000000000e+00 1.208910000002560992e-03
3.850025864125891650e-02 8.000000000000000000e+00 1.597970000005943803e-03
4.331279097141628454e-02 9.000000000000000000e+00 2.048080000008667412e-03
4.812532330157364563e-02 1.000000000000000000e+01 2.562500000010459189e-03
5.293785563173100672e-02 1.100000000000000000e+01 3.144950000006474511e-03
5.775038796188837475e-02 1.200000000000000000e+01 3.799510000007444432e-03
6.256292029204574279e-02 1.300000000000000000e+01 4.530720000005317161e-03
6.737545262220309694e-02 1.400000000000000000e+01 5.343510000002993365e-03
7.218798495236046497e-02 1.500000000000000000e+01 6.243130000001428925e-03
7.700051728251783301e-02 1.600000000000000000e+01 7.235100000002603338e-03
8.181304961267520104e-02 1.700000000000000000e+01 8.325450000000955697e-03
8.662558194283256907e-02 1.800000000000000000e+01 9.520560000012778801e-03
9.143811427298992323e-02 1.900000000000000000e+01 1.083422000000666685e-02
